Product Name,Operating System,Resolution,Hard drive,Rating,Price
Lenovo IdeaPad 3 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) 15IML05 Thin and Light Laptop,Windows 11 Operating System,39.62 cm (15.6 Inch) Display,256 GB SSD,4.3,"₹35,990"
HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq2629TU Thin and Light Laptop,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,512 GB SSD,4.3,"₹42,990"
ASUS VivoBook 15 Core i3 10th Gen - (8 GB/1 TB HDD/Windows 11 Home) X515JA-BQ302W Thin and Light Lapto...,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,1 TB HDD,3.7,"₹29,990"
HP Ryzen 3 Dual Core 3250U - (8 GB/256 GB SSD/Windows 10 Home) 15s-GY0501AU Thin and Light Laptop,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,256 GB SSD,4.3,"₹34,990"
ASUS VivoBook 15 (2022) Celeron Quad Core - (4 GB/256 GB SSD/Windows 11 Home) X515MA-BR011W Thin and L...,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,256 GB SSD,4.2,"₹26,990"
Lenovo Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15IML05 Thin and Light Laptop,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,512 GB SSD,4.4,"₹38,990"
Infinix INBook X1 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL11 Thin and Light Laptop,64 bit Windows 11 Operating System,35.56 cm (14 inch) Display,256 GB SSD,4.3,"₹29,990"
ASUS Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) X515EA-EJ312WS Thin and Light Laptop,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,256 GB SSD,4.4,"₹36,990"
acer Aspire 3 Dual Core 3020e - (4 GB/256 GB SSD/Windows 11 Home) A314-22 Laptop,64 bit Windows 11 Operating System,35.56 cm (14 Inch) Display,256 GB SSD,4,"₹25,990"
ASUS VivoBook 14 (2021) Celeron Dual Core - (4 GB/256 GB SSD/Windows 11 Home) X415MA-BV011W Thin and L...,64 bit Windows 11 Operating System,35.56 cm (14 inch) Display,256 GB SSD,4.1,"₹25,990"
DELL Inspiron Athlon Dual Core 3050U - (8 GB/256 GB SSD/Windows 11 Home) Inspiron 3525 Notebook,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,256 GB SSD,4.3,"₹30,990"
ASUS VivoBook 15 (2022) Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) X515EA-EJ332WS T...,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,1 TB HDD|256 GB SSD,4.2,"₹39,990"
Lenovo IdeaPad 3 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14IML05 Thin and Light Laptop,64 bit Windows 11 Operating System,35.56 cm (14 inch) Display,256 GB SSD,4.2,"₹35,990"
MSI Core i3 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) Modern 14 B11MOU-862IN Thin and Light Laptop,64 bit Windows 10 Operating System,35.56 cm (14 inch) Display,512 GB SSD,4.2,"₹35,990"
Infinix INBook X1 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL11 Thin and Light Laptop,64 bit Windows 11 Operating System,35.56 cm (14 inch) Display,256 GB SSD,4.3,"₹29,990"
